"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"contas_pagars","supplier_id","contas_pagars_supplier_id_foreign","suppliers","id"
"contas_recebers","paciente_id","contas_recebers_paciente_id_foreign","pacientes","id"
"contas_recebers","procedure_id","contas_recebers_procedure_id_foreign","procedures","id"
"contas_recebers","scheduling_id","contas_recebers_scheduling_id_foreign","schedulings","id"
"employees","user_id","employees_user_id_foreign","users","id"
"fluxo_caixas","conta_pagar_id","fluxo_caixas_conta_pagar_id_foreign","contas_pagars","id"
"fluxo_caixas","conta_receber_id","fluxo_caixas_conta_receber_id_foreign","contas_recebers","id"
"fluxo_caixas","paciente_id","fluxo_caixas_paciente_id_foreign","pacientes","id"
"fluxo_caixas","supplier_id","fluxo_caixas_supplier_id_foreign","suppliers","id"
"odontogramas","paciente_id","odontogramas_paciente_id_foreign","pacientes","id"
"patient_procedures","paciente_id","patient_procedures_paciente_id_foreign","pacientes","id"
"patient_procedures","procedure_id","patient_procedures_procedure_id_foreign","procedures","id"
"patient_procedures","scheduling_id","patient_procedures_scheduling_id_foreign","schedulings","id"
