"TABLE_NAME","INDEX_NAME","NON_UNIQUE","SEQ_IN_INDEX","COLUMN_NAME"
"agreements","idx_agreements_name","1","1","name"
"agreements","PRIMARY","0","1","id"
"anamneses","PRIMARY","0","1","id"
"cache","PRIMARY","0","1","key"
"cache_locks","PRIMARY","0","1","key"
"contas_pagars","contas_pagars_codigo_unique","0","1","codigo"
"contas_pagars","contas_pagars_status_data_vencimento_index","1","1","status"
"contas_pagars","contas_pagars_status_data_vencimento_index","1","2","data_vencimento"
"contas_pagars","contas_pagars_supplier_id_foreign","1","1","supplier_id"
"contas_pagars","PRIMARY","0","1","id"
"contas_recebers","contas_recebers_codigo_unique","0","1","codigo"
"contas_recebers","contas_recebers_paciente_id_foreign","1","1","paciente_id"
"contas_recebers","contas_recebers_procedure_id_foreign","1","1","procedure_id"
"contas_recebers","contas_recebers_scheduling_id_foreign","1","1","scheduling_id"
"contas_recebers","contas_recebers_status_data_vencimento_index","1","1","status"
"contas_recebers","contas_recebers_status_data_vencimento_index","1","2","data_vencimento"
"contas_recebers","PRIMARY","0","1","id"
"employees","employees_email_unique","0","1","email"
"employees","employees_user_id_foreign","1","1","user_id"
"employees","idx_employees_active","1","1","active"
"employees","idx_employees_email","1","1","email"
"employees","idx_employees_name","1","1","name"
"employees","idx_employees_role","1","1","role"
"employees","PRIMARY","0","1","id"
"failed_jobs","failed_jobs_uuid_unique","0","1","uuid"
"failed_jobs","PRIMARY","0","1","id"
"fluxo_caixas","fluxo_caixas_conta_pagar_id_foreign","1","1","conta_pagar_id"
"fluxo_caixas","fluxo_caixas_conta_receber_id_foreign","1","1","conta_receber_id"
"fluxo_caixas","fluxo_caixas_paciente_id_foreign","1","1","paciente_id"
"fluxo_caixas","fluxo_caixas_supplier_id_foreign","1","1","supplier_id"
"fluxo_caixas","fluxo_caixas_tipo_data_movimento_index","1","1","tipo"
"fluxo_caixas","fluxo_caixas_tipo_data_movimento_index","1","2","data_movimento"
"fluxo_caixas","PRIMARY","0","1","id"
"forma_pagamentos","idx_forma_pagamentos_nome","1","1","nome"
"forma_pagamentos","PRIMARY","0","1","id"
"group_anamneses","PRIMARY","0","1","id"
"job_batches","PRIMARY","0","1","id"
"jobs","jobs_queue_index","1","1","queue"
"jobs","PRIMARY","0","1","id"
"migrations","PRIMARY","0","1","id"
"odontogramas","odontogramas_paciente_id_unique","0","1","paciente_id"
"odontogramas","PRIMARY","0","1","id"
"pacientes","idx_pacientes_cpf_cnpj","1","1","cpf_cnpj"
"pacientes","idx_pacientes_created_at","1","1","created_at"
"pacientes","idx_pacientes_email","1","1","email"
"pacientes","idx_pacientes_name","1","1","name"
"pacientes","idx_pacientes_telefone","1","1","telefone"
"pacientes","idx_pacientes_updated_at","1","1","updated_at"
"pacientes","pacientes_cpf_cnpj_unique","0","1","cpf_cnpj"
"pacientes","pacientes_email_unique","0","1","email"
"pacientes","PRIMARY","0","1","id"
"password_reset_tokens","PRIMARY","0","1","email"
"patient_procedures","patient_procedures_paciente_id_procedure_id_index","1","1","paciente_id"
"patient_procedures","patient_procedures_paciente_id_procedure_id_index","1","2","procedure_id"
"patient_procedures","patient_procedures_procedure_id_foreign","1","1","procedure_id"
"patient_procedures","patient_procedures_scheduling_id_foreign","1","1","scheduling_id"
"patient_procedures","PRIMARY","0","1","id"
"personal_access_tokens","personal_access_tokens_token_unique","0","1","token"
"personal_access_tokens","personal_access_tokens_tokenable_type_tokenable_id_index","1","1","tokenable_type"
"personal_access_tokens","personal_access_tokens_tokenable_type_tokenable_id_index","1","2","tokenable_id"
"personal_access_tokens","PRIMARY","0","1","id"
"procedures","idx_procedures_active","1","1","active"
"procedures","idx_procedures_category","1","1","category"
"procedures","idx_procedures_name","1","1","name"
"procedures","idx_procedures_value","1","1","value"
"procedures","PRIMARY","0","1","id"
"reports","PRIMARY","0","1","id"
"schedulings","idx_schedulings_created_at","1","1","created_at"
"schedulings","idx_schedulings_date","1","1","date"
"schedulings","idx_schedulings_date_status","1","1","date"
"schedulings","idx_schedulings_date_status","1","2","status"
"schedulings","idx_schedulings_patient_date","1","1","patient_id"
"schedulings","idx_schedulings_patient_date","1","2","date"
"schedulings","idx_schedulings_patient_id","1","1","patient_id"
"schedulings","idx_schedulings_procedure_id","1","1","procedure_id"
"schedulings","idx_schedulings_professional_date","1","1","professional_id"
"schedulings","idx_schedulings_professional_date","1","2","date"
"schedulings","idx_schedulings_professional_id","1","1","professional_id"
"schedulings","idx_schedulings_status","1","1","status"
"schedulings","PRIMARY","0","1","id"
"schedulings","schedulings_date_professional_id_index","1","1","date"
"schedulings","schedulings_date_professional_id_index","1","2","professional_id"
"schedulings","schedulings_patient_id_date_index","1","1","patient_id"
"schedulings","schedulings_patient_id_date_index","1","2","date"
"sessions","PRIMARY","0","1","id"
"sessions","sessions_last_activity_index","1","1","last_activity"
"sessions","sessions_user_id_index","1","1","user_id"
"suppliers","PRIMARY","0","1","id"
"treatment_plans","PRIMARY","0","1","id"
"users","PRIMARY","0","1","id"
"users","users_email_unique","0","1","email"
